Inference for Stan model: Matern32Poisson_SDE_reparametrized_model
1 chains: each with iter=(1000); warmup=(0); thin=(1); 1000 iterations saved.

Warmup took (64) seconds, 1.1 minutes total
Sampling took (56) seconds, 56 seconds total

                    Mean     MCSE   StdDev        5%       50%       95%  N_Eff  N_Eff/s    R_hat
lp__            1.4e+003 4.5e-001 7.5e+000  1.4e+003  1.4e+003  1.4e+003    277 4.9e+000 1.0e+000
accept_stat__   8.6e-001 8.9e-003 1.8e-001  4.7e-001  9.3e-001  1.0e+000    406 7.3e+000 1.0e+000
stepsize__      3.9e-002 2.0e-016 1.4e-016  3.9e-002  3.9e-002  3.9e-002   0.50 8.9e-003-1.$e+000
treedepth__     7.0e+000 2.0e-002 3.3e-001  7.0e+000  7.0e+000  7.0e+000    271 4.8e+000 1.0e+000
n_leapfrog__    1.3e+002 6.1e-001 1.1e+001  1.3e+002  1.3e+002  1.3e+002    323 5.8e+000 1.0e+000
divergent__     2.2e-002 6.7e-003 1.5e-001  0.0e+000  0.0e+000  0.0e+000    484 8.6e+000 1.0e+000
energy__       -1.3e+003 6.9e-001 1.0e+001 -1.3e+003 -1.3e+003 -1.3e+003    229 4.1e+000 1.0e+000
mu              2.3e+000 2.8e-002 6.2e-001  1.3e+000  2.2e+000  3.3e+000    492 8.8e+000 1.0e+000
lscale          1.7e-001 3.6e-003 6.8e-002  8.8e-002  1.6e-001  3.1e-001    351 6.3e+000 1.0e+000
stdev           1.1e+000 2.4e-002 4.2e-001  6.1e-001  1.0e+000  2.0e+000    308 5.5e+000 1.0e+000
x_shock[1]      6.7e-001 2.6e-002 5.9e-001 -3.6e-001  6.8e-001  1.6e+000    508 9.1e+000 1.0e+000
x_shock[2]     -4.6e-001 2.3e-002 7.2e-001 -1.7e+000 -4.7e-001  7.4e-001   1000 1.8e+001 1.0e+000
x_shock[3]     -2.6e-001 2.9e-002 9.1e-001 -1.8e+000 -2.6e-001  1.3e+000   1000 1.8e+001 1.0e+000
x_shock[4]      1.6e-001 2.8e-002 9.0e-001 -1.3e+000  1.9e-001  1.6e+000   1000 1.8e+001 1.0e+000
x_shock[5]      6.8e-001 2.9e-002 9.2e-001 -7.7e-001  6.5e-001  2.2e+000   1000 1.8e+001 1.0e+000
x_shock[6]      8.3e-001 3.0e-002 9.5e-001 -7.2e-001  8.1e-001  2.4e+000   1000 1.8e+001 1.0e+000
x_shock[7]      4.6e-001 2.6e-002 8.1e-001 -8.6e-001  4.6e-001  1.8e+000   1000 1.8e+001 1.0e+000
x_shock[8]     -6.1e-003 2.9e-002 9.1e-001 -1.6e+000 -1.2e-002  1.5e+000   1000 1.8e+001 1.0e+000
x_shock[9]     -1.3e-001 2.8e-002 9.0e-001 -1.6e+000 -1.5e-001  1.4e+000   1000 1.8e+001 1.0e+000
x_shock[10]    -5.2e-003 2.8e-002 8.8e-001 -1.4e+000  2.8e-002  1.4e+000   1000 1.8e+001 1.0e+000
x_shock[11]     1.8e-001 2.9e-002 9.1e-001 -1.3e+000  1.9e-001  1.7e+000   1000 1.8e+001 1.0e+000
x_shock[12]     1.9e-001 2.7e-002 8.4e-001 -1.2e+000  1.9e-001  1.6e+000   1000 1.8e+001 1.0e+000
x_shock[13]     2.6e-001 2.8e-002 9.0e-001 -1.2e+000  2.7e-001  1.7e+000   1000 1.8e+001 1.0e+000
x_shock[14]     5.2e-001 2.7e-002 8.6e-001 -8.7e-001  5.3e-001  1.8e+000   1000 1.8e+001 1.0e+000
x_shock[15]     5.9e-001 2.9e-002 9.0e-001 -8.7e-001  5.7e-001  2.0e+000   1000 1.8e+001 1.0e+000
x_shock[16]     1.7e-001 3.0e-002 9.5e-001 -1.4e+000  1.7e-001  1.7e+000   1000 1.8e+001 1.0e+000
x_shock[17]    -6.1e-002 2.9e-002 9.0e-001 -1.5e+000 -7.5e-002  1.5e+000   1000 1.8e+001 1.0e+000
x_shock[18]    -2.1e-001 2.8e-002 8.8e-001 -1.7e+000 -2.1e-001  1.2e+000   1000 1.8e+001 1.0e+000
x_shock[19]    -2.1e-001 2.8e-002 8.9e-001 -1.8e+000 -2.1e-001  1.2e+000   1000 1.8e+001 1.0e+000
x_shock[20]    -1.1e-001 2.8e-002 9.0e-001 -1.6e+000 -9.3e-002  1.4e+000   1000 1.8e+001 1.0e+000
x_shock[21]    -3.9e-001 2.8e-002 8.9e-001 -1.8e+000 -3.9e-001  1.0e+000   1000 1.8e+001 1.0e+000
